id,rating,title,content,author,date,helpful_votes,verified_purchase
23,4,"착용감이 너무 좋아요","디자인이 세련되어서 어디에나 잘 어울려요.",조성우,2025-02-15,45,true
24,5,"추천합니다","충전 케이스가 작아서 주머니에 넣고 다니기 좋습니다.",임지연,2025-02-16,33,true
25,4,"선물용으로 샀는데 좋아하네요","노이즈 캔슬링은 좋은데 주변 소음 듣기 모드는 약간 이질감이 있어요.",장동건,2025-02-25,3,true
26,5,"통화 품질이 좋아요","귀에 쏙 들어가서 격렬한 운동을 해도 빠질 걱정이 없네요.",고소영,2025-02-23,19,true
27,4,"색상이 실물이 더 이쁨","음질은 정말 하이엔드급입니다. 만족스러워요.",홍길동,2025-02-09,3,false
28,5,"박스가 찌그러져 왔어요","터치 조작이 생각보다 민감해서 가끔 오작동할 때가 있네요.",성춘향,2025-02-12,43,false
29,4,"배송 빨라요","전반적으로 아주 훌륭한 제품입니다. 재구매 의사 있어요.",이몽룡,2025-02-13,39,true
30,4,"음질 최고예요","베이스가 웅장하고 고음도 깨끗해요. 음악 듣는 맛이 나네요.",김철수,2025-02-22,8,true
31,5,"가성비 갑","이 가격에 노이즈 캔슬링이 이 정도라니 놀랍습니다.",이영희,2025-02-15,12,false
32,4,"디자인이 예뻐요","장시간 착용해도 귀가 전혀 아프지 않아서 좋아요.",박지민,2025-02-12,31,true
33,4,"노이즈 캔슬링 대박","헬스장에서 운동할 때 쓰는데 땀 흘려도 괜찮고 잘 안 빠져요.",최민수,2025-02-18,36,true
34,5,"조금 비싸지만 만족","지하철에서 노캔 켜면 정말 조용해집니다. 신기해요.",정대연,2025-02-23,14,true
35,4,"배터리가 아쉬워요","배터리는 하루 종일 쓰기엔 조금 모자란 느낌이에요.",강수진,2025-02-12,2,true
36,3,"운동할 때 딱임","블루투스 페어링 속도가 정말 빨라서 편합니다.",윤도현,2025-02-03,34,false
37,3,"연결이 가끔 끊겨요","통화할 때 제 목소리가 상대방에게 잘 전달된다고 하네요.",한미나,2025-02-04,26,true
38,5,"착용감이 너무 좋아요","디자인이 세련되어서 어디에나 잘 어울려요.",조성우,2025-02-06,23,true
39,3,"추천합니다","충전 케이스가 작아서 주머니에 넣고 다니기 좋습니다.",임지연,2025-02-03,8,true
40,3,"선물용으로 샀는데 좋아하네요","노이즈 캔슬링은 좋은데 주변 소음 듣기 모드는 약간 이질감이 있어요.",장동건,2025-02-05,11,true
41,4,"통화 품질이 좋아요","귀에 쏙 들어가서 격렬한 운동을 해도 빠질 걱정이 없네요.",고소영,2025-02-23,6,true
42,3,"색상이 실물이 더 이쁨","음질은 정말 하이엔드급입니다. 만족스러워요.",홍길동,2025-02-12,24,true
43,4,"박스가 찌그러져 왔어요","터치 조작이 생각보다 민감해서 가끔 오작동할 때가 있네요.",성춘향,2025-02-22,14,false
44,5,"배송 빨라요","전반적으로 아주 훌륭한 제품입니다. 재구매 의사 있어요.",이몽룡,2025-02-15,1,true
45,3,"음질 최고예요","베이스가 웅장하고 고음도 깨끗해요. 음악 듣는 맛이 나네요.",김철수,2025-02-03,3,true
46,4,"가성비 갑","이 가격에 노이즈 캔슬링이 이 정도라니 놀랍습니다.",이영희,2025-02-21,9,true
47,4,"디자인이 예뻐요","장시간 착용해도 귀가 전혀 아프지 않아서 좋아요.",박지민,2025-02-12,44,false
48,5,"노이즈 캔슬링 대박","헬스장에서 운동할 때 쓰는데 땀 흘려도 괜찮고 잘 안 빠져요.",최민수,2025-02-07,39,false
49,5,"조금 비싸지만 만족","지하철에서 노캔 켜면 정말 조용해집니다. 신기해요.",정대연,2025-02-21,42,true
50,3,"배터리가 아쉬워요","배터리는 하루 종일 쓰기엔 조금 모자란 느낌이에요.",강수진,2025-02-25,31,true
51,4,"운동할 때 딱임","블루투스 페어링 속도가 정말 빨라서 편합니다.",윤도현,2025-02-18,32,true
52,3,"연결이 가끔 끊겨요","통화할 때 제 목소리가 상대방에게 잘 전달된다고 하네요.",한미나,2025-02-10,28,true
53,5,"착용감이 너무 좋아요","디자인이 세련되어서 어디에나 잘 어울려요.",조성우,2025-02-17,29,true
54,3,"추천합니다","충전 케이스가 작아서 주머니에 넣고 다니기 좋습니다.",임지연,2025-02-18,30,true
55,3,"선물용으로 샀는데 좋아하네요","노이즈 캔슬링은 좋은데 주변 소음 듣기 모드는 약간 이질감이 있어요.",장동건,2025-02-14,22,true
56,5,"통화 품질이 좋아요","귀에 쏙 들어가서 격렬한 운동을 해도 빠질 걱정이 없네요.",고소영,2025-02-24,17,false
57,4,"색상이 실물이 더 이쁨","음질은 정말 하이엔드급입니다. 만족스러워요.",홍길동,2025-02-22,24,true
58,5,"박스가 찌그러져 왔어요","터치 조작이 생각보다 민감해서 가끔 오작동할 때가 있네요.",성춘향,2025-02-23,15,true
59,5,"배송 빨라요","전반적으로 아주 훌륭한 제품입니다. 재구매 의사 있어요.",이몽룡,2025-02-11,47,true
60,5,"음질 최고예요","베이스가 웅장하고 고음도 깨끗해요. 음악 듣는 맛이 나네요.",김철수,2025-02-18,22,true
61,5,"가성비 갑","이 가격에 노이즈 캔슬링이 이 정도라니 놀랍습니다.",이영희,2025-02-20,46,true
62,4,"디자인이 예뻐요","장시간 착용해도 귀가 전혀 아프지 않아서 좋아요.",박지민,2025-02-13,5,true
63,5,"노이즈 캔슬링 대박","헬스장에서 운동할 때 쓰는데 땀 흘려도 괜찮고 잘 안 빠져요.",최민수,2025-02-24,1,true
64,3,"조금 비싸지만 만족","지하철에서 노캔 켜면 정말 조용해집니다. 신기해요.",정대연,2025-02-06,9,true
65,4,"배터리가 아쉬워요","배터리는 하루 종일 쓰기엔 조금 모자란 느낌이에요.",강수진,2025-02-05,40,true
66,3,"운동할 때 딱임","블루투스 페어링 속도가 정말 빨라서 편합니다.",윤도현,2025-02-11,46,false
67,5,"연결이 가끔 끊겨요","통화할 때 제 목소리가 상대방에게 잘 전달된다고 하네요.",한미나,2025-02-13,22,true
68,4,"착용감이 너무 좋아요","디자인이 세련되어서 어디에나 잘 어울려요.",조성우,2025-02-15,19,true
69,5,"추천합니다","충전 케이스가 작아서 주머니에 넣고 다니기 좋습니다.",임지연,2025-02-10,22,true
70,5,"선물용으로 샀는데 좋아하네요","노이즈 캔슬링은 좋은데 주변 소음 듣기 모드는 약간 이질감이 있어요.",장동건,2025-02-11,36,true
71,4,"통화 품질이 좋아요","귀에 쏙 들어가서 격렬한 운동을 해도 빠질 걱정이 없네요.",고소영,2025-02-13,29,true
72,3,"색상이 실물이 더 이쁨","음질은 정말 하이엔드급입니다. 만족스러워요.",홍길동,2025-02-11,27,true
73,3,"박스가 찌그러져 왔어요","터치 조작이 생각보다 민감해서 가끔 오작동할 때가 있네요.",성춘향,2025-02-02,38,false
74,3,"배송 빨라요","전반적으로 아주 훌륭한 제품입니다. 재구매 의사 있어요.",이몽룡,2025-02-02,41,true
75,3,"음질 최고예요","베이스가 웅장하고 고음도 깨끗해요. 음악 듣는 맛이 나네요.",김철수,2025-02-24,2,false
76,3,"가성비 갑","이 가격에 노이즈 캔슬링이 이 정도라니 놀랍습니다.",이영희,2025-02-15,25,true
77,3,"디자인이 예뻐요","장시간 착용해도 귀가 전혀 아프지 않아서 좋아요.",박지민,2025-02-18,48,true
78,4,"노이즈 캔슬링 대박","헬스장에서 운동할 때 쓰는데 땀 흘려도 괜찮고 잘 안 빠져요.",최민수,2025-02-18,28,true
79,4,"조금 비싸지만 만족","지하철에서 노캔 켜면 정말 조용해집니다. 신기해요.",정대연,2025-02-06,48,true
80,4,"배터리가 아쉬워요","배터리는 하루 종일 쓰기엔 조금 모자란 느낌이에요.",강수진,2025-02-18,31,true
81,3,"운동할 때 딱임","블루투스 페어링 속도가 정말 빨라서 편합니다.",윤도현,2025-02-15,25,false
82,3,"연결이 가끔 끊겨요","통화할 때 제 목소리가 상대방에게 잘 전달된다고 하네요.",한미나,2025-02-05,29,true
83,4,"착용감이 너무 좋아요","디자인이 세련되어서 어디에나 잘 어울려요.",조성우,2025-02-13,32,true
84,5,"추천합니다","충전 케이스가 작아서 주머니에 넣고 다니기 좋습니다.",임지연,2025-02-16,33,false
85,4,"선물용으로 샀는데 좋아하네요","노이즈 캔슬링은 좋은데 주변 소음 듣기 모드는 약간 이질감이 있어요.",장동건,2025-02-02,17,true
86,3,"통화 품질이 좋아요","귀에 쏙 들어가서 격렬한 운동을 해도 빠질 걱정이 없네요.",고소영,2025-02-14,25,true
87,3,"색상이 실물이 더 이쁨","음질은 정말 하이엔드급입니다. 만족스러워요.",홍길동,2025-02-25,40,true
88,4,"박스가 찌그러져 왔어요","터치 조작이 생각보다 민감해서 가끔 오작동할 때가 있네요.",성춘향,2025-02-06,23,true
89,3,"배송 빨라요","전반적으로 아주 훌륭한 제품입니다. 재구매 의사 있어요.",이몽룡,2025-02-18,17,true
90,3,"음질 최고예요","베이스가 웅장하고 고음도 깨끗해요. 음악 듣는 맛이 나네요.",김철수,2025-02-21,23,true
91,4,"가성비 갑","이 가격에 노이즈 캔슬링이 이 정도라니 놀랍습니다.",이영희,2025-02-24,29,false
92,5,"디자인이 예뻐요","장시간 착용해도 귀가 전혀 아프지 않아서 좋아요.",박지민,2025-02-15,36,true
93,5,"노이즈 캔슬링 대박","헬스장에서 운동할 때 쓰는데 땀 흘려도 괜찮고 잘 안 빠져요.",최민수,2025-02-10,43,true
94,3,"조금 비싸지만 만족","지하철에서 노캔 켜면 정말 조용해집니다. 신기해요.",정대연,2025-02-06,7,true
95,5,"배터리가 아쉬워요","배터리는 하루 종일 쓰기엔 조금 모자란 느낌이에요.",강수진,2025-02-17,29,true
96,3,"운동할 때 딱임","블루투스 페어링 속도가 정말 빨라서 편합니다.",윤도현,2025-02-20,15,true
97,4,"연결이 가끔 끊겨요","통화할 때 제 목소리가 상대방에게 잘 전달된다고 하네요.",한미나,2025-02-21,26,false
98,4,"착용감이 너무 좋아요","디자인이 세련되어서 어디에나 잘 어울려요.",조성우,2025-02-18,42,true
99,4,"추천합니다","충전 케이스가 작아서 주머니에 넣고 다니기 좋습니다.",임지연,2025-02-10,38,true
100,5,"선물용으로 샀는데 좋아하네요","노이즈 캔슬링은 좋은데 주변 소음 듣기 모드는 약간 이질감이 있어요.",장동건,2025-02-09,9,true
